,date,ndate,instrument,sname,hymc,forecast,forecasttype,increasel,increaset,zfpx,changereasondscrpt,forecastcontent
19,2020-03-31,2020-03-17,300285.SZA,国瓷材料,化工行业,reduction,略减,-10.0,-3.0,-6.5,"1、一季度公司整体经营情况稳定,但受新型冠状病毒疫情影响,一方面公司及各子公司以及产业链上下游公司复工时间较原计划有不同程度的延迟,复工率不足;另一方面物流运输也受到一定程度管控,影响了公司部分产品的交付量,从而导致公司2020年第一季度净利润较上年同期有所下降。2、预计报告期内非经常性损益对净利润的影响金额约为720万元,主要是政府补贴收入影响及疫情捐款支出影响。","预计2020年1-3月归属于上市公司股东的净利润盈利:10,800万元至11,640万元,同比上年下降:3%至10%。"
20,2020-03-31,2020-03-18,300074.SZA,华平股份,软件服务,reduction,增亏,-139.31,-97.33,-118.32,"1、2020年第一季度,公司收入较上年同期降低导致公司业绩较上年同期下降。2、2020年第一季度,非经常性损益项目对归属于上市公司股东的净利润的影响数约为70万元。","预计2020年1-3月归属于上市公司股东的净利润亏损:2,350万元至2,850万元。"
21,2020-03-31,2020-03-19,300271.SZA,华宇软件,软件服务,reduction,首亏,-145.0,-140.0,-142.5,"报告期内,受“新冠”疫情影响,公司在一季度的项目实施工作无法正常开展,复工时间延迟,项目验收进度放缓,收入和利润均出现大幅下滑。报告期内,公司实现营业收入约在28,815.97万元至24,013.31万元之间,比上年同期预计下降40%至50%;实现归属于上市公司股东的净利润约在-2,396.62万元至-2,696.20万元之间,比上年同期预计下降140%至145%。报告期内,公司非经常性损益不高于1,000万元。公司业务具有明显的季节性特点,经营业绩更集中于下半年,一季度收入占全年收入比重很小,对全年业绩影响较小。公司积极应对疫情,努力降低疫情对公司业务发展的影响,通过远程协同办公与现场办公结合的方式,目前已逐步安全有序复工。","预计2020年1-3月归属于上市公司股东的净利润亏损:2,396.62万元至2,696.2万元,同比上年下降:140%至145%。"
22,2020-03-31,2020-03-20,300650.SZA,太龙照明,电子元件,reduction,首亏,-175.69,-100.0,-137.845,"1、因新型冠状病毒疫情,公司及相关产业链复工延迟,对公司的生产和销售产生不良影响。2、报告期内,预计非经常性损益对净利润的影响金额为20-40万元之间。",预计2020年1-3月归属于上市公司股东的净利润亏损:0万元-500万元。
23,2020-03-31,2020-03-20,300575.SZA,中旗股份,农药兽药,reduction,略减,-39.86,-26.49,-33.175,"2020年第一季度虽然公司既有产品市场竞争力较强,市场需求旺盛,但新冠肺炎疫情造成一定影响,且去年同期基数较高,预计今年第一季度的产销量有所下降,导致归属于上市公司股东的净利润同比下降。","预计2020年1-3月归属于上市公司股东的净利润盈利:4,500万元至5,500万元,同比上年下降:26.49%至39.86%。"
24,2020-03-31,2020-03-20,300795.SZA,米奥会展,文化传媒,unknown,续亏,-10.0,10.0,0.0,"1、根据公司全年展会计划,第一季度无自办展,与去年同期一致,致使公司第一季度亏损。尽管受疫情影响,公司第一季度代理展收入与去年同期相比有所下降,但由于代理展规模较小,归属于上市公司股东的净利润与上年同期基本持平。2、报告期内,非经常性损益对净利润的影响金额预计约为20万元左右。","预计2020年1-3月归属于上市公司股东的净利润亏损:1,995万元至2,439万元,同比上年变动:-10%至10%。"
25,2020-03-31,2020-03-20,603221.SHA,爱丽家居,木业家具,unknown,续盈,-0.27,7.66,3.695,,"预计2020年1-3月归属于上市公司股东的净利润2,500.00万元-2,700.00万元,较上年同比下降0.27%至上升7.66%。"
26,2020-03-31,2020-03-20,688516.SHA,奥特维,专用设备,unknown,续盈,163.02,213.62,188.32,,"预计2020年1-3月归属于上市公司股东的净利润盈利:602.33万元-1,085.88万元。"
27,2020-03-31,2020-03-20,300005.SZA,探路者,纺织服装,reduction,首亏,-124.7,-112.35,-118.525,"1、报告期公司积极应对新型冠状病毒疫情的影响,快速应变进行了非医用防护服、防护型渔夫帽等健康防疫类产品的研发与生产供应,进一步强化了线上营销等,但因疫情扩散使得公司线下业务销售收入大幅减少,由此对公司报告期经营业绩造成了较大负面影响。2、公司预计报告期非经常性损益对净利润的影响额约为50万元,而上年同期为1,118.06万元,主要是在2019年第一季度公司已收到了大部分基于2018年税收缴纳的财政奖励,而该部分基于2019年税收缴纳的财政奖励预计将于2020年第二季度陆续收到。","预计2020年1-3月归属于上市公司股东的净利润亏损:500万元至1,000万元。"
28,2020-03-31,2020-03-20,300772.SZA,运达股份,专用设备,reduction,预减,-56.12,-42.96,-49.54,"在新型冠状病毒肺炎疫情的影响下,公司一季度发货量远少于预期,使得公司一季度净利润较低。与上年同期相比,公司2020年一季度归属于上市公司股东的净利润下降,主要原因系2020年一季度公司执行的订单仍属前期中标价较低的订单,导致公司一季度毛利率较上年同期下滑。","预计2020年1-3月归属于上市公司股东的净利润盈利:400万元至520万元,同比上年下降:42.96%至56.12%。"
29,2020-03-31,2020-03-20,000999.SZA,华润三九,医药制造,reduction,预减,-62.29,-52.01,-57.15,"公司本期业绩大幅下降的主要原因是:公司2019年通过公开挂牌转让,于2019年1月完成出售所持深圳市三九医院有限公司82.89%股权,给公司2019年度带来约6.8亿元(税后)资产处置收益,上述收益为非经常性损益。2020年一季度,新型冠状病毒肺炎疫情对公司部分业务的经营进度产生一定影响,经过努力,公司通过产品结构调整及新渠道拓展降低了疫情影响,预计扣除上述非经常性损益的影响后,2020年一季度公司经营业绩基本符合预期。","预计2020年1-3月归属于上市公司股东的净利润盈利:44,000万元至56,000万元,同比上年下降:52.01%至62.29%。"
30,2020-03-31,2020-03-20,300217.SZA,东方电热,机械行业,reduction,首亏,-116.49,-100.0,-108.245,"1、本报告期内,由于受疫情的影响,公司及上下游客户复工推迟,订单明显低于上年同期,导致民用电加热器销售同比下降幅度超过40%,通信光缆材料及动力锂电池钢壳材料销售同比下降超过20%,工业装备制造业务销售同比基本持平,从而造成公司整体业绩出现亏损。2、非经常性损益对公司2020年第一季度净利润的影响约为260万元。",预计2020年1-3月归属于上市公司股东的净利润:-500万元至0万元。
31,2020-03-31,2020-03-21,300142.SZA,沃森生物,医药制造,reduction,首亏,-159.38,-146.47,-152.925,"公司是专业从事人用疫苗研发、生产与销售的生物制药企业,主营业务以生产销售自主疫苗产品为主,2019年自主疫苗销售收入占营业收入比例达97%。2020年1季度,新型冠状病毒感染肺炎疫情广泛波及影响绝大部分地区和行业,全国各省、市相继启动了重大突发公共卫生事件一级响应,全国各地均采取多种手段防控疫情。疫情期间,疫苗的准入和管理机构及各省、市、县(区)级疾病预防控制中心全力投入抗疫工作,绝大部分疫苗接种门诊因新冠疫情防控要求而暂停接种疫苗;受交通物流停运影响,疫苗产品配送也碰到很大的困难。近期境外新型冠状病毒感染肺炎疫情形势持续恶化,公司国际销售业务面临较大挑战,如境外疫情严峻形势持续,公司还存在部分进口生产原辅材料采购受影响的风险。疫情给公司2020年第一季度销售造成较大影响,收入和利润均出现大幅下滑,导致归属于上市公司股东的净利润较上年同期下降并出现亏损。公司将对国内和境外新型冠状病毒感染肺炎疫情进行密切跟踪和评估,及时调整各项经营安排,采取多种措施保障生产经营工作安全有序开展,努力降低疫情对公司生产经营的不利影响。报告期内,公司预计非经常性损益影响归属于上市公司股东的净利润约190万元,上年同期为147.08万元。","预计2020年1-3月归属于上市公司股东的净利润亏损:1,800万元至2,300万元。"
32,2020-03-31,2020-03-23,688157.SHA,松井股份,化工行业,reduction,略减,-25.37,-25.37,-25.37,"2020年一季度,公司营业收入及净利润预期同比下降,主要系:受新型冠状病毒疫情等因素影响,生产订单交付周期延后所致。具体体现为:(一)受疫情影响,公司响应相关政策延期复工,2020年度截至本招股说明书签署日开工率仅为78.85%(实际工作天数/法定工作日),且公司为了有效防范疫情,采取轮班生产的形式,产品生产量预计同比下滑;(二)受疫情影响,公司主要下游模厂延期开工,部分原计划一季度交付的订单发货滞后,一季度出货量预计同比下降;(三)上游原材料供应商延期开工,公司2月生产主要以消耗春节前库存原材料为主。上述疫情因素影响,加之一季度为经营淡季,业绩基数相对较低,因此对公司经营业绩影响相对较大。从2020年全年的预测情况看,虽然公司短期经营业绩受疫情影响较大,但公司在手项目较多,且下游需求未发生根本性变化,预计后续随着疫情得到有效控制,公司经营情况将相应好转。","预计2020年1-3月归属于上市公司股东的净利润盈利:1,169.14万元,同比下降25.37%。"
33,2020-03-31,2020-03-24,300408.SZA,三环集团,电子元件,reduction,略减,-30.0,-15.0,-22.5,"1、受新型冠状病毒肺炎疫情影响,报告期内公司产品销售额出现下滑。2、本报告期公司预计非经常性损益对归属于上市公司股东的净利润影响约为2,650.00万元,去年同期为1,442.23万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:16,024.62万元至19,458.47万元,同比上年下降:15%至30%。"
34,2020-03-31,2020-03-24,300771.SZA,智莱科技,专用设备,reduction,略减,-30.0,0.0,-15.0,"报告期内,归属于上市公司股东的净利润较上年同期下降,主要原因如下:1、报告期内公司内销收入较上年同期下降,利润相应下降;2、报告期内收到增值税即征即退税款较上年同期下降。预计公司报告期的非经常性损益对利润的影响金额约为360.00万元,主要为公司持有交易性金融资产、交易性金融负债产生的公允价值变动损益,以及处置交易性金融资产取得的投资收益。","预计2020年1-3月归属于上市公司股东的净利润盈利:5,363.94万元至7,662.77万元,同比上年下降:0%至30%。"
35,2020-03-31,2020-03-24,300398.SZA,飞凯材料,化工行业,reduction,略减,-30.0,0.0,-15.0,"公司2020年第一季度业绩较上年同期略有下降,主要受新型冠状病毒疫情影响,公司销售订单及交付量有所下滑,公司生产和项目施工进度有所放缓。截至目前公司已经全面、有序复工,为尽可能降低疫情对公司业务发展的影响,公司已采取了相应的积极措施。另外,2019年度公司采取了积极的销售政策,产品销售价格有所下调,以及持续加大资本支出带来财务费用增加的影响,导致产品毛利率本期同比有所下降,归属于上市公司股东的净利润同比下降。预计本报告期公司的非经常性损益对净利润的影响金额约为652.47万元(未扣除所得税影响),上年度同期非经常性损益对净利润的影响金额为550.30万元(未扣除所得税影响)。","预计2020年1-3月归属于上市公司股东的净利润盈利:5,153.56万元至7,362.23万元,同比上年下降:0%至30%。"
36,2020-03-31,2020-03-24,002155.SZA,湖南黄金,贵金属,reduction,首亏,-200.17,-150.09,-175.13,"受新型冠状病毒疫情影响,公司复工延迟,对公司的生产和销售产生不利影响。","预计2020年1-3月归属于上市公司股东的净利润亏损:2,350万元-4,700万元。"
37,2020-03-31,2020-03-24,300345.SZA,华民股份,金属制品,reduction,首亏,-186.53,-166.86,-176.695,"报告期公司经营业绩与2019年同期相比下降,主要原因是:受新冠肺炎疫情影响,公司及客户未及时复工复产,收入减少,利润下降。",预计2020年1-3月归属于上市公司股东的净利润亏损:170万元至220万元。
38,2020-03-31,2020-03-24,002119.SZA,康强电子,电子元件,reduction,预减,-75.0,-58.0,-66.5,上年同期因转让子公司股权取得收益1600余万元。,"预计2020年1-3月归属于上市公司股东的净利润盈利:650万元-1,100万元,同比下降58.00%-75.00%。"
39,2020-03-31,2020-03-24,300011.SZA,鼎汉技术,交运设备,reduction,首亏,-597.21,-530.02,-563.615,"2020年一季度,新型冠状病毒感染肺炎疫情(以下简称“疫情”)广泛波及影响绝大部分地区和行业,全国各省、市相继启动了重大突发公共卫生事件一级响应,全国各地均采取多种手段防控疫情。面对突发疫情,公司快速成立疫情防控应急小组,统一领导及协助各下属公司做好防疫工作,在保障员工生命财产安全的前提下,于2月份陆续复工复产。受上述疫情影响,公司上下游产业链均受到不同程度复工及项目建设进度延2迟,公司订单交付下降,固定成本分摊导致毛利率下降,同时因上年融资成本攀升本期财务费用有所增长,导致公司一季度收入和归属于上市公司股东的净利润较上年同期下降并出现亏损。报告期,根据中央系列重要会议和文献的相关表述,包括城际高速铁路和城际轨道交通在内的新基建建设将迎来良好发展机遇,公司一方面将对国内新型冠状病毒感染肺炎疫情进行密切跟踪和评估,及时调整各项经营安排,采取多种措施保障生产经营工作安全有序开展,努力降低疫情对公司生产经营的不利影响;另一方面将紧随行国家政策引导,加大市场拓展力度,努力完成董事会年初制定各项经营目标。","预计2020年1-3月归属于上市公司股东的净利润亏损:3,200万元至3,700万元。"
40,2020-03-31,2020-03-25,300342.SZA,天银机电,家电行业,reduction,预减,-75.0,-55.0,-65.0,"1、2020年第一季度受新冠肺炎疫情的影响,公司及上下游客户复工推迟,物流受阻,报告期内公司产品销售额出现下滑。目前公司已全面复工,订单饱满,经营运作顺利。另外,去年同期公司非经常性损益达1,638.52万元,而今年数额较少,因此2020年第一季度归属于上市公司股东的净利润大幅下滑。2、预计本报告期非经常性损益对净利润的影响金额约30万元,不会对归属于上市公司股东的净利润产生重大影响。","预计2020年1-3月归属于上市公司股东的净利润盈利:约1,102.84万元至1,985.11万元,同比上年下降:55%至75%。"
41,2020-03-31,2020-03-25,300793.SZA,佳禾智能,电子元件,reduction,首亏,-610.58,-360.5,-485.54,"1、一季度收入较上年同期增长,但受疫情影响,复工延迟,产能受限,出货低于预期;同时招工难度增大,用工成本上升,导致运营成本增加,净利润较上年同期下降。2.报告期内,预计非经常性损益为19.10万元。",预计2020年1-3月归属于上市公司股东的净利润亏损:500万元至980万元。
42,2020-03-31,2020-03-25,300721.SZA,怡达股份,化工行业,reduction,首亏,-656.08,-442.2,-549.14,"报告期内由于新冠肺炎疫情突然爆发,导致整个公司生产经营遇到困难,特别是子公司珠海怡达、吉林怡达不能按期复工复产而延期较长,开工时间大幅减少且固定成本增加。因疫情爆发,公司下游企业复工复产延缓,市场需求严重不足,导致产品销售大幅减少,给公司一季度经营业绩造成了较大的影响。随着国内疫情初步得到控制,市场逐步恢复,公司生产经营情况也会随之改善。报告期内,公司非经常性损益对净利润的影响预计约为87万元。","预计2020年1-3月归属于上市公司股东的净利润亏损:800万元至1,300万元。"
43,2020-03-31,2020-03-25,300120.SZA,经纬辉开,电子元件,reduction,略减,-50.0,-20.0,-35.0,"1、报告期内,受全球疫情影响,公司保护屏等部分产品交货期延迟;此外,去年收购的全资子公司长沙市宇顺显示技术有限公司产品正处于研发、测试和打样阶段,仍处于亏损。2、2020年第一季度,公司非经常性损益约为350万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:919.37万元至1,470.99万元,同比上年下降:20%至50%。"
44,2020-03-31,2020-03-25,300601.SZA,康泰生物,医药制造,reduction,预减,-100.0,-85.0,-92.5,"报告期内,受新型冠状病毒肺炎疫情的影响,公司产品销量下降;同时公司因实施股票期权激励项目,股权激励摊销较去年同期增加,以致公司净利润较去年同期相比出现下降。随着国内疫情得到控制,疫苗接种逐渐恢复,公司的经营业绩也将逐步改善。本报告期预计非经常性损益对净利润的影响金额约为-22.46万元,去年同期非经常性损益的金额为331.17万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至1,495.81万元,同比上年下降:85%至100%。"
45,2020-03-31,2020-03-25,002922.SZA,伊戈尔,输配电气,reduction,首亏,-399.66,-296.33,-347.995,"本报告期亏损主要是由于:1、受新冠肺炎疫情影响,收入与上年同比下降4000万元左右;2、实施2019年限制性股票激励计划本季度摊销股份支付费用约325万元。",预计2020年1-3月归属于上市公司股东的净利润亏损:380万元-580万元。
46,2020-03-31,2020-03-26,300580.SZA,贝斯特,汽车行业,unknown,续盈,-15.0,15.0,0.0,"2020年一季度,受新型冠状病毒肺炎疫情影响,全国各省、市相继启动了重大突发公共卫生事件一级响应,全国各地均采取多种手段防控疫情。面对疫情,公司快速成立疾控复工安全领导小组,自上而下高度重视,积极应对,在确保员工健康安全的前提下,于2月初即有序进行复工复产。受上述疫情影响,公司一季度业绩基本与去年同期持平。2020年,面对依然复杂的外部环境,公司将在困难、挑战和机遇并存的时代背景下,按照高质量发展要求,围绕“企业规模化”和“产业特色化”两大主题,通过转型发展、创新发展、绿色发展为路径,持续推动业务变革、质量变革、效率变革、动力变革,在做大做强现有业务的同时,大力布局新能源汽车产业,奋力打造具有差异化竞争力的铁血企业。报告期内,公司预计非经常性损益对公司净利润的影响金额约为240万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:2,776.73万元至3,756.75万元,同比上年变动:-15%至15%。"
47,2020-03-31,2020-03-26,688228.SHA,开普云,软件服务,unknown,不确定,-188.32,7.41,-90.455,"公司2020年一季度的项目验收工作受到目前肺炎疫情影响,收入预计存在不确定性;且由于季节性因素,一季度的收入规模相对较小,预计盈利水平的波动幅度较大。","预计2020年1-3月归属于上市公司股东的净利润变动:-180.27万元至219.23万元,同比上年变动:-188.32%至7.41%。"
48,2020-03-31,2020-03-26,300406.SZA,九强生物,医药制造,reduction,预减,-80.0,-50.0,-65.0,"自新型冠状病毒的传染疫情(“新冠疫情”)从2020年1月起在全国爆发以来,本公司积极响应并严格执行党和国家各级政府对病毒疫情防控的各项规定和要求,本公司作为北京怀柔区政府特批的第一批必需企业,部分必要员工于2020年2月3日开始复工,以保证生产供应医院所需的临床诊断用品。2020年,公司受疫情影响,销售收入大幅下降,同时从供应保障、社会责任、内部管理等多方面多管齐下支持国家战疫。2020年1-3月,预计非经常性损益对净利润的影响-290.88万元,主要为政府补助和疫情期间捐赠共同影响;上年同期非经常性损益对净利润的影响为54.29万元,主要为政府补助。","预计2020年1-3月归属于上市公司股东的净利润盈利:1,204.78万元至3,011.97万元,同比上年下降:50%至80%。"
49,2020-03-31,2020-03-26,300436.SZA,广生堂,医药制造,reduction,预减,-86.77,-66.93,-76.85,"报告期内,公司营业收入预计同比下降17.73%—26.87%,净利润预计同比下降66.93%–86.77%,主要原因如下:1、公司抗乙肝病毒药物阿甘定-阿德福韦酯片、恩甘定-恩替卡韦胶囊分别于2019年9月、2020年1月成功中标国家药品集中采购。其中,恩甘定集中采购已于2019年12月份开始执行。报告期内,恩甘定销售数量预计同比增长480%;2、医药行业受医保控费、集中采购等政策影响,药品价格有所下降,公司抗乙肝病毒药物产品营收、净利润下降;3、报告期内,公司联营公司福建博奥医学检验所有限公司成为福州市复工从业人员新型冠状病毒指定检测单位,检测业务增加。","预计2020年1-3月归属于上市公司股东的净利润盈利:100万元至250万元,同比上年下降:66.93%至86.77%。"
